
   INFO  Server running on [http://127.0.0.1:8000].  

  Press Ctrl+C to stop the server

  2026-05-31 12:23:28 / .................................................................................. ~ 506.92ms
  2026-05-31 12:23:29 /installer ........................................................................... ~ 2.64ms
  2026-05-31 12:23:42 / .................................................................................. ~ 509.04ms
  2026-05-31 12:23:43 /installer ......................................................................... ~ 509.24ms
  2026-05-31 12:24:23 / .................................................................................. ~ 504.32ms
  2026-05-31 12:24:23 /installer ........................................................................... ~ 0.52ms
  2026-05-31 12:25:35 / ........................................................................................ ~ 1s
  2026-05-31 12:25:36 /installer ........................................................................... ~ 0.29ms
  2026-05-31 12:25:37 /favicon.ico ......................................................................... ~ 0.44ms
  2026-05-31 12:26:11 /installer ......................................................................... ~ 503.85ms
  2026-05-31 12:26:11 ....................................................................................... ~ 1m 5s
